money,377.000000
budget,0
revenue,a,Thu Oct 24 19:21:01 2024,100
revenue,asd,Thu Oct 24 19:21:09 2024,123
revenue,asd,Thu Oct 24 19:21:13 2024,123
revenue,asd,Thu Oct 24 19:21:28 2024,1
revenue,asd,Thu Oct 24 19:21:30 2024,1
revenue,a,Thu Oct 24 19:21:32 2024,1
revenue,a,Thu Oct 24 19:21:35 2024,1
revenue,a,Thu Oct 24 19:21:38 2024,1
revenue,a,Thu Oct 24 19:21:40 2024,1
revenue,à,Thu Oct 24 19:21:42 2024,1
revenue,a,Thu Oct 24 19:21:45 2024,1
revenue,a,Thu Oct 24 19:21:46 2024,1
revenue,a,Thu Oct 24 19:21:48 2024,1
revenue,a,Thu Oct 24 19:21:50 2024,1
revenue,a,Thu Oct 24 19:21:51 2024,1
revenue,a\,Thu Oct 24 19:21:53 2024,1
revenue,a,Thu Oct 24 19:21:55 2024,1
revenue,a,Thu Oct 24 19:21:56 2024,1
revenue,`,Thu Oct 24 19:21:59 2024,1
revenue,a,Thu Oct 24 19:22:00 2024,1
revenue,a,Thu Oct 24 19:22:02 2024,1
revenue,a,Thu Oct 24 19:22:03 2024,1
revenue,a,Thu Oct 24 19:22:04 2024,1
revenue,`a,Thu Oct 24 19:22:06 2024,1
revenue,a,Thu Oct 24 19:22:08 2024,1
revenue,a,Thu Oct 24 19:22:09 2024,1
revenue,a,Thu Oct 24 19:22:10 2024,1
revenue,a,Thu Oct 24 19:22:13 2024,1
revenue,A,Thu Oct 24 19:22:16 2024,1
revenue,A,Thu Oct 24 19:22:17 2024,1
revenue,a,Thu Oct 24 19:22:24 2024,1
revenue,a,Thu Oct 24 19:22:26 2024,1
revenue,a,Thu Oct 24 19:22:27 2024,1
revenue,a,Thu Oct 24 19:22:31 2024,1
